,Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
106,Ingeniería Civil Metalúrgica,83,100,0,100,100,100,100,100,100,100,100,80,100,86,91,100,100,100,100,98,100,100,93,95,100,100,100,100,100,95.0,77,90,77.0,100,100,0,100,100,100,100,0,93,10,1,2,1,1
107,Ingeniería Civil Metalúrgica,71,75,0,100,0,0,0,100,60,100,0,0,0,100,0,100,0,0,0,0,0,0,0,87,100,63,87,0,100,57.0,0,45,0.0,0,0,0,0,0,0,0,0,56,10,1,2,1,1
108,Ingeniería Civil Informática,98,100,0,100,100,100,100,100,60,100,100,100,100,0,94,0,100,89,85,98,100,100,99,92,100,90,100,100,100,95.0,100,100,100.0,100,100,100,100,100,100,100,100,97,7,1,2,0,1
109,Ingeniería Civil Informática,85,95,0,100,100,100,60,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,94,7,1,2,1,1
110,Ingeniería Civil Plan Común,78,95,0,100,100,100,80,100,0,100,0,0,100,100,100,100,100,100,100,100,100,100,100,95,100,90,100,100,100,70.0,100,0,0.0,0,100,100,100,100,100,100,100,82,11,1,2,1,1
111,Ingeniería Civil Plan Común,35,0,0,100,60,100,100,100,100,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,90,85,40,100,55.0,0,0,0.0,100,0,100,100,100,100,100,100,18,11,1,2,1,0
112,Ingeniería Civil Metalúrgica,72,0,40,0,100,100,60,60,60,60,100,60,100,100,100,0,100,0,0,0,0,0,0,100,100,95,82,80,100,0.0,0,0,0.0,100,100,0,100,100,100,100,0,58,10,1,2,0,1
113,Ingeniería Civil Plan Común,71,45,0,100,60,50,100,80,40,80,100,0,100,100,100,100,100,100,100,100,0,100,100,100,95,90,100,90,90,45.0,65,45,36.0,100,100,100,100,100,100,100,100,68,11,1,2,0,1
114,Ingeniería Civil Plan Común,77,0,50,100,100,0,80,100,60,100,50,60,60,100,0,0,83,0,44,0,0,42,83,100,100,100,35,65,0,60.0,0,0,0.0,0,0,0,0,0,0,0,0,57,11,1,2,0,1
115,Ingeniería Civil Metalúrgica,89,85,0,0,100,100,100,100,60,100,75,80,100,96,98,100,0,0,100,0,0,88,91,92,100,78,100,0,0,95.0,80,100,85.0,0,0,0,0,0,0,0,0,77,10,1,2,0,1
116,Ingeniería Civil Plan Común,40,45,0,0,100,100,80,80,40,100,25,80,60,100,100,100,100,100,100,95,100,0,0,90,100,80,69,55,55,0.0,0,0,0.0,100,100,100,100,100,0,100,100,43,11,1,2,1,0
117,Ingeniería Civil Metalúrgica,51,90,0,0,20,50,60,80,40,100,100,100,60,100,77,100,83,0,100,0,100,94,100,100,100,100,100,100,100,62.0,0,100,82.0,100,0,0,100,0,100,0,100,71,10,1,2,1,1
118,Ingeniería Civil Plan Común,100,80,0,100,100,100,100,100,40,100,100,60,100,100,100,100,100,100,100,100,100,100,100,95,95,85,100,95,90,80.0,92,80,45.0,100,100,100,100,100,100,100,100,90,11,0,2,0,1
119,Ingeniería Civil Metalúrgica,98,30,0,100,100,100,40,80,20,100,100,80,60,100,100,100,100,100,100,100,100,100,100,100,100,80,100,90,100,70.0,80,90,62.0,100,100,100,100,100,100,100,100,75,10,1,2,0,1
120,Ingeniería Civil Plan Común,100,95,0,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0,100,100,100.0,100,100,100,100,100,100,100,100,97,11,1,2,0,1
