Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Informática,20,100,-,10,10,10,8,5,4,6.67,10,2,10,95,100,100,100,100,100,100,100,100,100,95,95,100,100,100,65,100,85,100,50,,,,,,,,,73,0,0,7,0,0,1,1
Ingeniería Civil Informática,100,100,-,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,100,0,0,7,0,0,1,1
Ingeniería Civil,48,65,-,10,10,10,10,10,2,10,10,6,10,-,-,90,76,81,86,97,94,-,100,65,90,100,95,85,0,31,90,0,40,,,,,,,,,66,0,0,1,0,0,1,1
Ingeniería Civil Informática,56,100,-,10,10,10,10,7.5,6,10,10,8,10,91,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,,,,,,,,,87,0,0,7,0,1,1,1
Ingeniería Civil Mecánica,65,0,100,10,6,10,6,5,0,-,2.5,4,6,67,88,-,-,-,95,90,100,94,94,95,100,100,50,0,100,51,100,80,75,,,,,,,,,56,0,0,9,0,0,1,1
Ingeniería Civil Informática,25,80,50,10,10,10,6,7.5,0,8,7.5,2,10,100,100,-,-,0,100,0,100,100,100,95,100,100,100,45,100,0,100,100,100,,,,,,,,,70,0,0,7,0,0,1,1
Construcción Civil,46,60,100,10,2,10,10,7.5,10,10,10,6,10,95,95,100,100,99,100,96,100,100,99,95,100,100,90,100,100,100,100,60,-,,,,,,,,,84,0,0,0,0,1,1,1
Ingeniería Civil,-,70,57,10,10,10,6,10,6,-,-,-,-,-,-,100,-,-,100,97,100,-,0,100,95,80,100,100,100,0,20,0,0,,,,,,,,,58,0,0,1,0,0,1,1
Ingeniería Civil Eléctrica,-,0,-,10,10,10,8,5,10,3.33,2.5,0,4,100,0,100,-,100,-,100,100,100,-,40,100,100,50,100,-,-,-,-,-,,,,,,,,,0,0,0,4,0,0,1,0
Ingeniería Civil Informática,58,100,-,10,4,10,6,7.5,10,10,8,8,10,100,100,0,100,100,100,100,100,100,100,95,90,100,100,100,100,100,100,90,100,,,,,,,,,85,0,0,7,0,0,1,1
Ingeniería Civil Informática,80,65,-,10,10,10,10,10,4,10,10,4,6,100,100,100,100,98,100,94,100,-,95,85,100,100,100,100,0,100,100,100,-,,,,,,,,,74,0,0,7,0,0,1,1
Ingeniería Civil Informática,100,90,-,10,10,-,6,10,4,6.67,7.5,10,10,92,98,-,92,91,99,90,85,96,-,95,90,0,100,95,100,40,100,90,95,,,,,,,,,87,0,0,7,0,0,1,1
Ingeniería Civil Matemática,26,0,-,10,10,10,8,10,4,10,10,10,10,90,93,100,100,100,-,96,95,-,93,90,95,100,100,100,0,100,0,100,0,,,,,,,,,13,0,0,8,0,0,1,0
Ingeniería Civil Mecánica,45,0,100,7.5,10,4,4,7.5,10,8,10,4,10,59,100,59,59,59,59,97,100,-,-,89,100,100,100,100,100,100,100,100,0,,,,,,,,,77,0,0,9,0,0,1,1
Construcción Civil,0,0,-,10,10,10,6,5,10,0,2.5,0,4,95,100,-,100,100,100,-,100,-,88,90,95,70,100,85,-,-,-,60,80,,,,,,,,,0,0,0,0,0,1,1,0
Ingeniería Civil Matemática,50,75,-,10,6,10,6,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,,,,,,,,,80,0,0,8,0,0,1,1
Ingeniería Civil Mecánica,100,100,-,-,-,10,10,10,10,10,10,10,10,0,78,83,-,80,100,100,95,100,100,80,90,100,100,100,0,100,100,100,90,,,,,,,,,91,0,0,9,0,0,1,1
Ingeniería Civil Mecánica,50,0,-,10,0,0,-,7.5,-,-,-,-,-,95,-,-,-,-,-,0,-,-,-,75,100,80,90,100,70,-,0,-,-,,,,,,,,,25,0,0,9,0,0,1,0
Ingeniería Civil Informática,65,100,-,10,4,10,10,10,10,10,10,10,10,100,87,100,100,100,100,100,100,98,100,90,100,100,100,75,100,100,100,100,90,,,,,,,,,89,0,0,7,0,0,1,1
