Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,SM9,SM10,Carrera,Campus,Sexo,Sem,Apr
Ingeniería Civil Informática,100,100,-,10,10,10,10,10,8,10,10,6,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,100,95,,,,,,,,,99,0,0,7,1,1,1,1
Ingeniería Civil Matemática,55,40,-,10,10,10,10,10,8,8.33,10,8,10,95,100,100,-,100,78,92,100,-,0,90,100,100,100,100,45,25,90,0,0,,,,,,,,,48,0,0,8,1,0,1,0
Ingeniería Civil,52,100,-,10,10,10,8,10,10,10,10,6,10,100,100,100,100,100,100,100,100,100,100,95,100,100,100,85,90,100,100,90,100,,,,,,,,,86,0,0,1,1,0,1,1
Ingeniería Civil Informática,93,100,-,10,10,10,10,10,8,10,10,8,10,100,100,100,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,95,,,,,,,,,98,0,0,7,1,1,1,1
Ingeniería Civil Informática,75,80,-,10,10,10,10,7.5,10,10,5,6,10,100,100,100,100,100,100,100,100,100,100,95,100,100,95,100,100,85,100,100,100,,,,,,,,,86,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,95,25,-,10,4,0,10,5,8,8.33,10,10,10,100,100,100,100,100,100,100,100,100,-,100,100,95,100,100,-,100,100,40,-,,,,,,,,,62,0,0,9,1,0,1,1
Ingeniería Civil Informática,11,100,15,10,4,10,8,5,8,1.67,7.5,4,10,95,98,93,80,68,95,86,100,98,100,85,95,95,100,95,100,100,100,80,100,,,,,,,,,71,0,0,7,1,0,1,1
Ingeniería Civil Informática,100,60,-,10,6,10,10,10,10,10,10,6,10,100,100,100,100,100,100,98,100,100,100,95,100,100,95,100,100,100,100,100,100,,,,,,,,,88,0,0,7,1,0,1,1
Ingeniería Civil,90,95,-,10,10,10,7.5,10,8,6,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5,100,90,90,,,,,,,,,93,0,0,1,1,0,1,1
Ingeniería Civil,17,95,95,10,10,10,10,5,8,8,2.5,6,10,100,100,100,100,100,-,100,100,0,100,100,90,85,100,100,100,80,95,100,0,,,,,,,,,90,0,0,1,1,0,1,1
Ingeniería Civil Matemática,50,50,72,10,10,10,8,7.5,4,8.33,5,2,4,100,100,-,100,100,-,100,5,100,0,90,100,85,100,100,25,40,65,0,0,,,,,,,,,61,0,0,8,1,0,1,1
Ingeniería Civil Informática,75,100,-,10,10,10,10,7.5,6,10,10,8,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90,100,,,,,,,,,92,0,0,7,1,0,1,1
Ingeniería Civil,80,0,-,10,6,10,10,10,4,10,-,-,-,100,100,100,100,98,100,97,-,-,-,95,95,100,90,100,100,0,0,0,0,,,,,,,,,40,0,0,1,1,0,1,0
Ingeniería Civil Informática,15,0,-,0,10,10,10,7.5,8,8.33,5,6,10,100,100,100,100,100,100,100,100,100,100,100,100,80,95,100,100,0,100,-,0,,,,,,,,,8,0,0,7,1,0,1,0
Ingeniería Civil,65,100,-,10,10,0,10,7.5,0,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,80,100,100,100,100,100,90,100,,,,,,,,,87,0,0,1,1,0,1,1
Ingeniería Civil,100,90,-,10,10,10,10,10,6,10,10,4,10,100,100,100,100,100,100,100,100,100,100,95,-,100,100,100,100,100,100,85,100,,,,,,,,,93,0,0,1,1,0,1,1
Ingeniería Civil Informática,41,80,-,10,10,-,10,7.5,10,10,10,2,10,87,98,100,0,99,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,,,,,,,,,72,0,0,7,1,0,1,1
Ingeniería Civil Metalúrgica,23,5,-,0,10,10,10,7.5,8,8.33,2.5,4,10,-,-,79,79,59,61,-,-,75,-,100,100,80,100,70,0,-,-,-,-,,,,,,,,,14,0,0,10,1,0,1,0
Ingeniería Civil Mecánica,53,75,-,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,-,100,100,100,100,100,100,90,100,100,95,100,,,,,,,,,81,0,0,9,1,0,1,1
Ingeniería Civil Informática,70,100,-,10,10,-,10,7.5,-,10,10,6,-,100,100,100,100,100,100,98,100,81,100,85,100,100,100,100,0,100,85,95,90,,,,,,,,,82,0,0,7,1,0,1,1
Ingeniería Civil Mecánica,90,90,-,0,10,10,10,7.5,8,8.33,10,6,10,100,100,100,100,100,100,98,100,100,100,100,90,100,100,100,50,100,100,100,100,,,,,,,,,90,0,0,9,1,0,1,1
Ingeniería Civil Mecánica,0,15,80,10,2,0,6,2.5,6,3.33,0,6,6,-,-,-,-,-,-,-,-,-,-,65,100,60,85,100,100,100,100,100,0,,,,,,,,,48,0,0,9,1,0,1,0
Ingeniería Civil Metalúrgica,76,80,-,10,10,10,2.5,10,0,-,10,-,-,81,80,83,45,87,76,55,61.25,88,59,95,95,100,95,100,0,10,0,0,0,,,,,,,,,63,0,0,10,1,1,1,1
Ingeniería Civil Informática,65,100,-,10,10,10,8,7.5,4,10,10,6,-,100,100,100,100,100,100,100,100,100,86,100,100,100,100,95,100,100,100,90,100,,,,,,,,,86,0,0,7,1,0,1,1
Ingeniería Civil,88,100,-,10,10,10,10,10,8,-,10,6,4,100,100,100,100,100,100,-,100,100,100,100,95,100,100,100,100,-,100,90,50,,,,,,,,,89,0,0,1,1,1,1,1
