Depto,C1,C2,CR,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,NF,Carrera,Campus,Sem,Sexo,Apr
Ingeniería en Aviación Comercial,70,75,0,100.0,100.0,100.0,100.0,100.0,60.0,100.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,80,90,95,80,90,100,100,100,100,100,100,100,100,83,15,2,1,0,1
Ingeniería en Aviación Comercial,100,100,0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,100,100,90,90,100,100,100,100,100,100,100,100,98,15,2,1,1,1
Ingeniería en Aviación Comercial,50,100,0,67.0,100.0,100.0,100.0,75.0,80.0,40.0,100.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,96.0,95,100,100,100,100,100,100,0,0,95,100,100,100,100,100,100,100,100,70,15,2,1,0,1
Ingeniería en Aviación Comercial,80,0,0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,100.0,80.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100,100,100,100,100,65,100,100,100,0,100,100,100,100,100,100,100,100,40,15,2,1,0,0
Ingeniería en Aviación Comercial,17,50,100,83.0,100.0,100.0,40.0,75.0,20.0,17.0,0.0,40.0,100.0,67.0,71.0,0.0,0.0,17.0,10.0,0.0,70.0,0.0,0.0,45,85,95,90,95,20,10,95,0,0,0,0,0,0,0,0,0,0,63,15,2,1,0,1
Ingeniería en Aviación Comercial,50,60,0,100.0,0.0,100.0,20.0,50.0,80.0,0.0,100.0,0.0,100.0,90.0,64.0,0.0,61.0,100.0,100.0,100.0,100.0,100.0,100.0,95,100,60,95,100,100,100,100,90,100,100,75,0,100,100,100,100,100,68,15,2,1,1,1
Ingeniería en Aviación Comercial,20,0,0,80.0,60.0,100.0,60.0,100.0,40.0,60.0,100.0,20.0,100.0,95.0,92.0,100.0,100.0,100.0,93.0,98.0,90.0,93.0,98.0,70,85,75,60,100,20,100,0,45,0,25,100,100,0,100,0,100,100,10,15,2,1,0,0
Ingeniería en Aviación Comercial,83,25,67,60.0,100.0,100.0,40.0,0.0,0.0,60.0,0.0,20.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,100.0,100,100,100,100,70,100,58,100,0,0,100,100,100,100,100,100,100,100,72,15,2,1,0,1
Ingeniería en Aviación Comercial,25,100,0,100.0,40.0,0.0,100.0,75.0,100.0,80.0,100.0,40.0,100.0,91.0,68.0,83.0,100.0,66.0,100.0,100.0,100.0,100.0,100.0,95,75,90,0,95,85,100,100,65,0,100,100,100,100,100,100,100,100,63,15,2,1,1,1
Ingeniería en Aviación Comercial,50,50,100,100.0,20.0,100.0,100.0,100.0,40.0,0.0,50.0,20.0,100.0,84.0,100.0,100.0,100.0,98.0,97.0,0.0,100.0,96.0,100.0,80,100,100,95,95,100,48,100,70,95,100,100,100,100,100,30,100,100,79,15,2,1,0,1
Ingeniería en Aviación Comercial,70,95,0,100.0,60.0,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100,100,100,100,95,100,100,100,100,95,100,100,100,100,100,100,100,100,90,15,2,1,0,1
Ingeniería en Aviación Comercial,55,0,0,100.0,40.0,100.0,75.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,100,95,80,100,100,100,100,100,100,100,100,100,28,15,2,1,0,0
Ingeniería en Aviación Comercial,100,100,0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100,100,100,100,100,100,100,95,100,80,100,100,100,100,100,100,100,100,99,15,2,1,0,1
Ingeniería Civil Industrial,0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0
Ingeniería en Aviación Comercial,26,0,0,100.0,60.0,100.0,60.0,100.0,100.0,60.0,100.0,0.0,100.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,75,100,100,100,100,100,95,100,100,80,100,100,100,100,100,100,100,100,13,15,2,1,1,0
Ingeniería Civil Industrial,45,35,100,100.0,100.0,100.0,75.0,75.0,100.0,100.0,100.0,20.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,48.0,0.0,100,100,80,100,100,100,73,100,0,0,0,20,100,0,100,0,0,0,75,6,2,1,0,1
Ingeniería en Aviación Comercial,5,0,0,17.0,40.0,100.0,75.0,50.0,0.0,80.0,0.0,20.0,60.0,100.0,97.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0,100,100,100,100,55,73,10,0,0,100,100,100,70,100,100,100,0,3,15,2,1,1,0
Ingeniería Civil Industrial,33,100,0,100.0,100.0,0.0,100.0,25.0,100.0,67.0,75.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100,100,100,100,100,70,46,65,0,0,100,100,100,100,0,0,100,0,70,6,2,1,1,1
Ingeniería Civil Industrial,100,100,0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100,100,100,100,80,100,100,100,100,0,100,100,100,100,100,100,100,100,97,6,2,1,0,1
Ingeniería Civil Industrial,15,40,25,80.0,60.0,100.0,60.0,50.0,100.0,83.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100,100,100,0,100,100,100,100,80,100,100,100,100,100,100,100,100,100,33,6,2,1,0,0
Ingeniería en Aviación Comercial,28,15,0,100.0,40.0,100.0,25.0,75.0,0.0,100.0,0.0,0.0,100.0,55.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,100,100,90,0,90,60,0,50,0,80,75,0,0,0,100,0,0,0,22,15,2,1,0,0
Ingeniería en Aviación Comercial,20,0,90,33.0,60.0,100.0,100.0,100.0,100.0,33.0,100.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,100,0,100,100,100,100,0,75,0,100,100,100,100,100,100,100,62,15,2,1,1,1
Ingeniería Civil Industrial,25,85,0,100.0,100.0,100.0,60.0,100.0,100.0,60.0,100.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95,100,100,75,100,100,40,50,80,20,100,100,100,100,100,0,100,0,70,6,2,1,1,1
Ingeniería en Aviación Comercial,18,85,37,100.0,60.0,100.0,50.0,100.0,100.0,100.0,75.0,60.0,100.0,84.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,98.0,100.0,100,100,100,100,100,0,95,100,100,100,100,100,25,100,100,100,10,100,66,15,2,1,0,1
Ingeniería Civil Industrial,100,60,0,100.0,40.0,100.0,50.0,50.0,63.0,100.0,0.0,40.0,100.0,100.0,100.0,100.0,100.0,0.0,63.0,100.0,100.0,98.0,100.0,100,100,95,100,100,100,95,0,90,0,100,100,100,100,100,0,100,0,77,6,2,1,1,1
Ingeniería Civil Industrial,53,75,0,100.0,100.0,100.0,80.0,100.0,0.0,100.0,50.0,80.0,100.0,100.0,97.0,100.0,100.0,100.0,0.0,0.0,95.0,0.0,100.0,100,100,80,100,100,70,0,100,100,95,100,100,100,100,100,46,100,100,65,6,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,0.0,0.0,0.0,0.0,,,,,,,100.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1,0
Ingeniería Civil Industrial,98,60,0,67.0,100.0,0.0,100.0,75.0,100.0,100.0,100.0,20.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100,80,100,100,0,58,100,85,0,100,60,100,100,100,100,100,50,79,6,2,1,0,1
Ingeniería en Aviación Comercial,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0
